Name,ID,Club_Name,Club_Event,Club_Event_Role,Fest_Name,Fest_Event,Fest_Event_Organiser
Abagail Marx,18XJ1A0202,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_2_event_2', 'club_3_event_1']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_1', 'fest_2_event_5', 'fest_1_event_3', 'fest_2_event_2']",[nan]
Abdullah Horst,17XJ1A0132,"['club_1', 'club_3']","['club_1_event_2', 'club_1_event_1', 'club_3_event_2']",['Participant'],"['fest_2', 'fest_1']","['fest_1_event_2', 'fest_1_event_1', 'fest_1_event_11', 'fest_1_event_5', 'fest_1_event_9', 'fest_2_event_5', 'fest_1_event_8', 'fest_1_event_7', 'fest_1_event_4', 'fest_2_event_2', 'fest_2_event_3', 'fest_1_event_13', 'fest_1_event_3']",[nan]
Abdullah Reddy,17XJ1A0145,"['club_2', 'club_3']","['club_2_event_1', 'club_3_event_2']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_5', 'fest_2_event_4']",[nan]
Abigale Jimenez,17XJ1A0141,[nan],[nan],[nan],['fest_2'],['fest_2_event_11'],[nan]
Abigayle Bolen,18XJ1A0264,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_1', 'fest_2_event_3', 'fest_1_event_4', 'fest_1_event_1', 'fest_2_event_14', 'fest_1_event_2', 'fest_1_event_13', 'fest_2_event_10', 'fest_1_event_12', 'fest_2_event_12', 'fest_1_event_6', 'fest_2_event_5', 'fest_2_event_15']",[nan]
Abigayle Sander,18XJ1A0143,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_4', 'fest_1_event_8', 'fest_1_event_13', 'fest_2_event_10', 'fest_2_event_5', 'fest_2_event_7', 'fest_2_event_6', 'fest_1_event_11', 'fest_2_event_14', 'fest_1_event_10', 'fest_1_event_9', 'fest_1_event_5', 'fest_2_event_12', 'fest_2_event_11', 'fest_1_event_6', 'fest_1_event_1', 'fest_2_event_1', 'fest_1_event_4', 'fest_2_event_8', 'fest_1_event_7', 'fest_1_event_12']",[nan]
Abrianna Delarosa,17XJ1A0158,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_10', 'fest_1_event_11', 'fest_2_event_4', 'fest_1_event_3', 'fest_2_event_3', 'fest_2_event_1', 'fest_1_event_1', 'fest_2_event_2', 'fest_2_event_14', 'fest_2_event_9', 'fest_1_event_12', 'fest_1_event_2', 'fest_2_event_15', 'fest_2_event_13', 'fest_2_event_10', 'fest_2_event_11', 'fest_1_event_4', 'fest_1_event_5']",[nan]
Abril Covarrubias,18XJ1A0138,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_2_event_3', 'club_3_event_2']",['Participant'],[nan],[nan],[nan]
Adan Goetz,18XJ1A0181,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_2_event_2', 'club_3_event_2', 'club_3_event_1']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_5', 'fest_2_event_1', 'fest_1_event_2', 'fest_2_event_4']",[nan]
Adeline Henry,17XJ1A0105,['club_1'],"['club_1_event_3', 'club_1_event_1']",['Participant'],"['fest_2', 'fest_1']","['fest_2_event_4', 'fest_1_event_1', 'fest_2_event_5', 'fest_2_event_1', 'fest_2_event_6', 'fest_1_event_2', 'fest_1_event_3', 'fest_1_event_5', 'fest_2_event_2']",[nan]
Adrian Graff,18XJ1A0125,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_9', 'fest_2_event_2', 'fest_1_event_3', 'fest_2_event_4', 'fest_2_event_9', 'fest_2_event_15', 'fest_1_event_8', 'fest_2_event_13', 'fest_2_event_8', 'fest_1_event_5', 'fest_2_event_7', 'fest_1_event_12', 'fest_1_event_1']",[nan]
Ainsley Clinton,18XJ1A0187,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_2_event_1', 'club_3_event_2']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_5', 'fest_2_event_5', 'fest_2_event_4', 'fest_1_event_13', 'fest_2_event_8', 'fest_1_event_7']",[nan]
Alannah Chisholm,17XJ1A0275,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_1_event_3', 'club_1_event_1', 'club_2_event_1', 'club_3_event_1', 'club_3_event_2']",['Participant'],[nan],[nan],[nan]
Aldo Ragan,17XJ1A0237,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_4', 'fest_2_event_11', 'fest_1_event_9', 'fest_2_event_5', 'fest_2_event_15', 'fest_2_event_9', 'fest_2_event_1', 'fest_1_event_11', 'fest_1_event_2', 'fest_2_event_6', 'fest_1_event_12', 'fest_2_event_14', 'fest_1_event_10', 'fest_1_event_7', 'fest_2_event_12', 'fest_1_event_3', 'fest_2_event_3', 'fest_2_event_8', 'fest_2_event_13', 'fest_1_event_1', 'fest_1_event_6', 'fest_1_event_13', 'fest_2_event_2', 'fest_2_event_10']",[nan]
Aleah Crider,17XJ1A0309,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_7', 'fest_1_event_8', 'fest_1_event_3', 'fest_1_event_6', 'fest_2_event_11', 'fest_1_event_10', 'fest_2_event_8', 'fest_2_event_15', 'fest_2_event_5', 'fest_1_event_9', 'fest_1_event_13', 'fest_2_event_9', 'fest_1_event_12']",[nan]
Aleah Spangler,18XJ1A0193,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_8', 'fest_2_event_7', 'fest_1_event_7', 'fest_2_event_6', 'fest_2_event_15', 'fest_1_event_2', 'fest_1_event_6', 'fest_1_event_5', 'fest_2_event_5', 'fest_2_event_13', 'fest_2_event_14', 'fest_1_event_12', 'fest_1_event_1', 'fest_2_event_12', 'fest_2_event_9', 'fest_2_event_11', 'fest_2_event_4', 'fest_1_event_9', 'fest_1_event_13', 'fest_2_event_1', 'fest_1_event_10']",[nan]
Alexander Jaimes,18XJ1A0218,['club_2'],['club_2_event_2'],['Participant'],"['fest_2', 'fest_1']","['fest_2_event_3', 'fest_1_event_4', 'fest_2_event_5']",[nan]
Alexandrea Starnes,18XJ1A0167,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_1_event_3', 'club_2_event_3', 'club_2_event_1', 'club_2_event_2', 'club_3_event_1', 'club_3_event_2']",['Participant'],[nan],[nan],[nan]
Alexandria Galbraith,17XJ1A0218,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_1_event_2', 'club_1_event_3', 'club_2_event_1', 'club_3_event_1']",['Participant'],[nan],[nan],[nan]
Alina Ervin,18XJ1A0274,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_1_event_1', 'club_2_event_3', 'club_2_event_1', 'club_3_event_2', 'club_3_event_3']",['Participant'],['fest_2'],"['fest_2_event_12', 'fest_2_event_5']",[nan]
Alison Mcvey,17XJ1A0255,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_2_event_1', 'club_2_event_3', 'club_3_event_2']",['Participant'],['fest_1'],['fest_1_event_1'],[nan]
Alivia Kidwell,17XJ1A0344,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_1', 'fest_1_event_10', 'fest_1_event_13', 'fest_2_event_15', 'fest_2_event_6', 'fest_2_event_2', 'fest_2_event_3', 'fest_1_event_3', 'fest_2_event_1', 'fest_1_event_9', 'fest_2_event_12', 'fest_2_event_8', 'fest_1_event_11', 'fest_2_event_13', 'fest_1_event_4', 'fest_1_event_7', 'fest_2_event_9', 'fest_2_event_5', 'fest_2_event_11']",[nan]
Alize Dodd,18XJ1A0345,"['club_2', 'club_3']","['club_2_event_1', 'club_3_event_1', 'club_3_event_2']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_1', 'fest_2_event_3', 'fest_2_event_1', 'fest_1_event_2']",[nan]
Alize Gross,18XJ1A0341,[nan],[nan],[nan],['fest_1'],['fest_1_event_4'],[nan]
Allen McPherson,17XJ1A0106,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_2_event_2', 'club_2_event_1', 'club_3_event_1']",['Participant'],"['fest_2', 'fest_1']","['fest_2_event_9', 'fest_1_event_3', 'fest_2_event_2']",[nan]
Allissa Biddle,18XJ1A0260,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_1_event_1', 'club_2_event_3', 'club_3_event_3', 'club_3_event_2']",['Participant'],[nan],[nan],[nan]
Alvin Hayden,17XJ1A0299,['club_3'],['club_3_event_1'],['Participant'],"['fest_2', 'fest_1']","['fest_2_event_5', 'fest_2_event_8', 'fest_2_event_11', 'fest_2_event_1', 'fest_2_event_9', 'fest_2_event_13', 'fest_2_event_7', 'fest_1_event_5', 'fest_1_event_4', 'fest_1_event_10', 'fest_2_event_12', 'fest_2_event_4', 'fest_1_event_13', 'fest_2_event_3', 'fest_1_event_3', 'fest_2_event_14', 'fest_1_event_6', 'fest_1_event_2']",[nan]
Alvin Venegas,18XJ1A0195,"['club_1', 'club_2']","['club_1_event_1', 'club_2_event_2']",['Participant'],"['fest_2', 'fest_1']","['fest_2_event_5', 'fest_1_event_9', 'fest_2_event_2', 'fest_1_event_3', 'fest_2_event_3', 'fest_1_event_4']",[nan]
Alycia Woodard,17XJ1A0107,"['club_1', 'club_2']","['club_1_event_2', 'club_2_event_1']",['Participant'],[nan],[nan],[nan]
Alyse Bertrand,18XJ1A0178,"['club_1', 'club_3']","['club_1_event_3', 'club_3_event_3', 'club_3_event_1']",['Participant'],['fest_2'],['fest_2_event_15'],[nan]
Amaiya Solano,17XJ1A0147,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_1_event_3', 'club_2_event_3', 'club_2_event_1', 'club_2_event_2', 'club_3_event_2', 'club_3_event_1']",['Participant'],[nan],[nan],[nan]
Amalia Frost,18XJ1A0108,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_2_event_2', 'club_2_event_1', 'club_3_event_1']",['Participant'],['fest_1'],"['fest_1_event_5', 'fest_1_event_1']",[nan]
Amaris Jones,18XJ1A0236,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_10', 'fest_1_event_5', 'fest_2_event_9', 'fest_1_event_6', 'fest_1_event_8', 'fest_2_event_5']",[nan]
Amber Costa,18XJ1A0205,"['club_1', 'club_2']","['club_1_event_2', 'club_1_event_1', 'club_2_event_1']",['Participant'],"['fest_2', 'fest_1']","['fest_2_event_3', 'fest_1_event_3', 'fest_1_event_12', 'fest_2_event_4', 'fest_1_event_8', 'fest_2_event_6', 'fest_1_event_5']",[nan]
Amber Rudolph,18XJ1A0189,"['club_1', 'club_2', 'club_3']","['club_1_event_1', 'club_1_event_2', 'club_2_event_1', 'club_3_event_3']",['Participant'],[nan],[nan],[nan]
Amina Ware,17XJ1A0199,"['club_2', 'club_3']","['club_2_event_3', 'club_3_event_2', 'club_3_event_3']",['Participant'],[nan],[nan],[nan]
Andie Embry,17XJ1A0159,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_8', 'fest_1_event_7', 'fest_2_event_6', 'fest_1_event_6', 'fest_2_event_7', 'fest_1_event_1', 'fest_2_event_14']",[nan]
Andreas Byers,17XJ1A0250,['club_3'],['club_3_event_3'],['Participant'],"['fest_1', 'fest_2']","['fest_1_event_13', 'fest_2_event_1', 'fest_2_event_10', 'fest_1_event_11', 'fest_2_event_12', 'fest_2_event_4', 'fest_1_event_9', 'fest_2_event_2', 'fest_2_event_9', 'fest_1_event_3', 'fest_2_event_7', 'fest_2_event_5', 'fest_1_event_6', 'fest_1_event_2', 'fest_1_event_8', 'fest_1_event_5', 'fest_2_event_8', 'fest_1_event_10']",[nan]
Andrew Keefe,17XJ1A0345,"['club_1', 'club_2']","['club_1_event_2', 'club_2_event_1']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_7', 'fest_2_event_2', 'fest_1_event_1', 'fest_1_event_3']",[nan]
Anissa Medina,17XJ1A0241,[nan],[nan],[nan],[nan],[nan],[nan]
Annabelle Malloy,17XJ1A0125,"['club_2', 'club_3']","['club_2_event_2', 'club_3_event_1']",['Participant'],"['fest_1', 'fest_2']","['fest_1_event_3', 'fest_2_event_4', 'fest_2_event_9', 'fest_1_event_5', 'fest_2_event_5', 'fest_2_event_2']",[nan]
Annalee Simmons,18XJ1A0262,[nan],[nan],[nan],[nan],[nan],[nan]
Annaliese Giles,17XJ1A0197,['club_1'],['club_1_event_1'],['organiser_1'],"['fest_2', 'fest_1']","['fest_1_event_2', 'fest_1_event_1', 'fest_2_event_7', 'fest_1_event_11', 'fest_2_event_11', 'fest_1_event_4', 'fest_1_event_9', 'fest_2_event_2', 'fest_2_event_3', 'fest_2_event_13', 'fest_1_event_3', 'fest_2_event_8', 'fest_2_event_9', 'fest_2_event_15', 'fest_1_event_12', 'fest_2_event_14', 'fest_1_event_10']",[nan]
Annalise Dietz,17XJ1A0210,['club_3'],['club_3_event_2'],['Participant'],"['fest_1', 'fest_2']","['fest_1_event_3', 'fest_2_event_3', 'fest_1_event_4', 'fest_2_event_2', 'fest_2_event_5', 'fest_1_event_5', 'fest_2_event_4', 'fest_1_event_1']",[nan]
Annette Ahmed,18XJ1A0100,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_1_event_3', 'club_2_event_1', 'club_3_event_1']","['organiser_1', 'Participant']","['fest_2', 'fest_1']","['fest_2_event_4', 'fest_1_event_4', 'fest_1_event_5', 'fest_1_event_1', 'fest_2_event_5']",[nan]
Ansley Wilkes,17XJ1A0266,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_1', 'fest_2_event_4', 'fest_2_event_15', 'fest_1_event_10', 'fest_1_event_3', 'fest_2_event_11', 'fest_1_event_12', 'fest_2_event_14', 'fest_2_event_2', 'fest_2_event_6', 'fest_2_event_10', 'fest_1_event_11', 'fest_1_event_6', 'fest_1_event_9', 'fest_2_event_5']",[nan]
Anthony Llamas,17XJ1A0191,[nan],[nan],[nan],"['fest_2', 'fest_1']","['fest_2_event_2', 'fest_2_event_10', 'fest_1_event_2', 'fest_2_event_14', 'fest_1_event_12', 'fest_2_event_11', 'fest_1_event_13', 'fest_2_event_1', 'fest_2_event_8', 'fest_1_event_11', 'fest_2_event_5', 'fest_1_event_3', 'fest_1_event_9', 'fest_2_event_12', 'fest_1_event_6']",[nan]
April Gorman,18XJ1A0208,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_10', 'fest_2_event_9', 'fest_2_event_12', 'fest_2_event_2', 'fest_2_event_13', 'fest_2_event_5', 'fest_2_event_3', 'fest_1_event_6', 'fest_2_event_8', 'fest_2_event_1', 'fest_2_event_4', 'fest_1_event_9', 'fest_2_event_10', 'fest_1_event_2', 'fest_1_event_11', 'fest_2_event_6', 'fest_1_event_13', 'fest_1_event_4']",[nan]
Areli Seeley,17XJ1A0287,[nan],[nan],[nan],"['fest_1', 'fest_2']","['fest_1_event_12', 'fest_2_event_1', 'fest_2_event_11', 'fest_2_event_8']",[nan]
Arjun Payne,18XJ1A0159,"['club_1', 'club_2', 'club_3']","['club_1_event_2', 'club_1_event_1', 'club_2_event_1', 'club_2_event_3', 'club_3_event_2']",['Participant'],[nan],[nan],[nan]
