Name,ID,Club_Name,Event_x,Role_x,Fest_Name_x,Event_y,Fest_Name_y,Role_y
Annette Ahmed,18XJ1A0100,club_1,club_1_event_2,organiser_1,fest_2,fest_2_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_2,organiser_1,fest_1,fest_1_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_2,organiser_1,fest_2,fest_2_event_5,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_2,organiser_1,fest_1,fest_1_event_1,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_2,organiser_1,fest_1,fest_1_event_5,NA,NA
Annette Ahmed,18XJ1A0100,club_3,club_3_event_1,Participant,fest_2,fest_2_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_3,club_3_event_1,Participant,fest_1,fest_1_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_3,club_3_event_1,Participant,fest_2,fest_2_event_5,NA,NA
Annette Ahmed,18XJ1A0100,club_3,club_3_event_1,Participant,fest_1,fest_1_event_1,NA,NA
Annette Ahmed,18XJ1A0100,club_3,club_3_event_1,Participant,fest_1,fest_1_event_5,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,Participant,fest_2,fest_2_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,Participant,fest_1,fest_1_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,Participant,fest_2,fest_2_event_5,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,Participant,fest_1,fest_1_event_1,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,Participant,fest_1,fest_1_event_5,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,organiser_1,fest_2,fest_2_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,organiser_1,fest_1,fest_1_event_4,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,organiser_1,fest_2,fest_2_event_5,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,organiser_1,fest_1,fest_1_event_1,NA,NA
Annette Ahmed,18XJ1A0100,club_1,club_1_event_3,organiser_1,fest_1,fest_1_event_5,NA,NA
